0.03,148,9,1.48,100,180,-1,58,0,-1,49,0.01,-1,83,0.01,-1,50,180,50,55,0.78,-1
0.04,198,10,1.98,100,180,-1,62,0,-1,56,0.1,-1,98,0.01,-1,100,180,-1,60,0.89,-1
0.05,241,9,2.41,100,180,-1,67,0,-1,58,0.41,-1,100,0,-1,100,180,-1,64,0.97,-1
0.0461,242,11,2.42,100,180,-1,62,0,-1,55,0.16,-1,97,0.01,-1,100,180,-1,58,0.97,-1
0.1,519,17,5.19,100,180,-1,81,0,-1,71,55.8,-1,100,0.02,-1,100,180,-1,76,1.43,-1
0.1,514,19,5.14,100,180,-1,76,0,-1,71,99.8,-1,100,0.02,-1,100,180,-1,75,1.43,-1
0.2,1017,31,10.2,100,180,-1,85,0,-1,80,124,-1,100,0.07,-1,100,180,-1,82,2.17,-1

100,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.03,149,8,1.49,100,180,-1,51,0,-1,47,0.01,-1,70,0,-1,100,180,-1,50,0.8,-1
0.04,195,10,1.95,100,180,-1,59,0,-1,52,0.02,-1,89,0,-1,100,180,-1,56,0.89,-1
0.05,251,14,2.51,100,180,-1,62,0,-1,58,0.33,-1,98,0.01,-1,100,180,-1,61,1.06,-1
0.0461,217,11,2.17,100,180,-1,64,0,-1,55,0.11,-1,98,0,-1,100,180,-1,60,0.94,-1
0.1,499,19,4.99,100,180,-1,76,0,-1,69,16.6,-1,100,0.03,-1,100,180,-1,75,1.51,-1
0.1,524,21,5.24,100,180,-1,77,0,-1,71,101,-1,100,0.03,-1,100,180,-1,74,1.46,-1
0.2,977,27,9.77,100,180,-1,87,0,-1,80,101,-1,100,0.08,-1,100,180,-1,85,2.07,-1

120,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.025,176,8,1.47,120,180,-1,66,0.01,-1,54,0,-1,54,0,-1,120,180,-1,64,1.05,-1
0.0333,216,9,1.8,120,180,-1,70,0.01,-1,62,0.05,-1,109,0.01,-1,120,180,-1,67,1.1,-1
0.0417,297,12,2.47,120,180,-1,77,0,-1,66,0.23,-1,116,0,-1,120,180,-1,74,1.33,-1
0.0399,283,11,2.36,120,180,-1,77,0,-1,68,0.88,-1,119,0,-1,120,180,-1,73,1.25,-1
0.0913,634,18,5.28,120,180,-1,91,0.01,-1,85,179,-1,120,0.03,-1,120,180,-1,88,1.86,-1
0.1,724,23,6.03,120,180,-1,97,0.01,-1,88,179,-1,120,0.06,-1,120,180,-1,93,2.01,-1
0.2,1419,39,11.8,120,180,-1,107,0.01,-1,98,180,-1,120,0.16,-1,120,180,-1,102,2.97,-1

140,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.0214,211,9,1.51,140,180,-1,77,0,-1,66,0.01,-1,105,0.01,-1,140,180,-1,73,1.32,-1
0.0286,241,9,1.72,140,180,-1,82,0.01,-1,72,0.07,-1,123,0,-1,140,180,-1,80,1.39,-1
0.0357,386,12,2.76,140,180,-1,95,0,-1,85,55.1,-1,137,0.01,-1,140,180,-1,91,1.71,-1
0.0353,358,12,2.56,140,180,-1,92,0,-1,82,11.6,-1,138,0.01,-1,140,180,-1,88,1.59,-1
0.0845,841,21,6.01,140,180,-1,107,0.01,-1,100,180,-1,140,0.06,-1,140,180,-1,106,2.42,-1
0.1,1002,25,7.16,140,180,-1,116,0,-1,106,180,-1,140,0.1,-1,140,180,-1,111,2.64,-1
0.2,1982,45,14.2,140,180,-1,123,0.01,-1,121,179,-1,140,0.21,-1,140,180,-1,122,4.06,-1

160,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.0187,254,8,1.59,160,180,-1,90,0,-1,77,0.05,-1,128,0.01,-1,160,180,-1,86,1.67,-1
0.025,339,11,2.12,160,180,-1,98,0,-1,86,0.6,-1,153,0.02,-1,160,180,-1,95,1.82,-1
0.0312,431,10,2.69,160,180,-1,109,0,-1,95,81.6,-1,159,0.02,-1,160,180,-1,104,2.03,-1
0.0317,424,16,2.65,160,180,-1,107,0,-1,93,21.4,-1,159,0.02,-1,160,180,-1,104,2.03,-1
0.0791,990,21,6.19,160,180,-1,131,0,-1,119,180,-1,160,0.1,-1,160,180,-1,125,2.83,-1
0.1,1220,24,7.62,160,180,-1,132,0,-1,124,180,-1,160,0.12,-1,160,180,-1,129,3.33,-1
0.2,2473,41,15.5,160,180,-1,143,0.01,-1,141,180,-1,160,0.43,-1,160,180,-1,141,5.05,-1

180,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.0167,285,8,1.58,180,180,-1,95,0,-1,84,0.02,-1,127,0,-1,180,180,-1,91,1.98,-1
0.0222,335,13,1.86,180,180,-1,106,0.01,-1,91,0.67,-1,159,0.02,-1,180,180,-1,103,2.07,-1
0.0278,459,11,2.55,180,180,-1,114,0.01,-1,104,179,-1,172,0.03,-1,180,180,-1,113,2.53,-1
0.0288,454,15,2.52,180,180,-1,119,0,-1,103,85.1,-1,175,0.02,-1,180,180,-1,115,2.65,-1
0.0745,1146,21,6.37,180,180,-1,149,0,-1,137,160,-1,180,0.12,-1,180,180,-1,142,3.91,-1
0.1,1583,27,8.79,180,180,-1,149,0.01,-1,147,164,-1,180,0.21,-1,180,180,-1,146,4.5,-1
0.2,3142,50,17.5,180,180,-1,161,0.01,-1,161,167,-1,180,0.74,-1,180,180,-1,160,7.02,-1

200,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.015,272,9,1.36,200,180,-1,109,0,-1,92,0.04,-1,152,0,-1,200,180,-1,107,2.41,-1
0.02,402,9,2.01,200,180,-1,118,0,-1,103,2.69,-1,177,0.02,-1,200,180,-1,113,2.7,-1
0.025,485,11,2.42,200,180,-1,133,0,-1,112,23.3,-1,195,0.03,-1,200,180,-1,126,2.88,-1
0.0265,528,12,2.64,200,180,-1,136,0.01,-1,114,176,-1,192,0.02,-1,200,180,-1,131,3.07,-1
0.0707,1439,27,7.2,200,180,-1,163,0,-1,154,165,-1,200,0.22,-1,200,180,-1,159,4.8,-1
0.1,1955,34,9.77,200,180,-1,173,0.01,-1,164,162,-1,200,0.27,-1,200,180,-1,166,5.52,-1
0.2,3929,57,19.6,200,180,-1,184,0.01,-1,179,160,-1,200,1.31,-1,200,180,-1,178,8.86,-1

220,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.0136,319,7,1.45,220,180,-1,118,0,-1,104,0.03,-1,152,0.01,-1,220,180,-1,116,2.99,-1
0.0182,432,11,1.96,220,180,-1,135,0,-1,116,3.63,-1,200,0.02,-1,220,180,-1,129,3.19,-1
0.0227,559,13,2.54,220,180,-1,136,0,-1,121,13.5,-1,214,0.04,-1,220,180,-1,135,3.52,-1
0.0245,584,11,2.65,220,180,-1,141,0,-1,128,175,-1,218,0.03,-1,220,180,-1,138,3.24,-1
0.0674,1559,27,7.09,220,180,-1,173,0,-1,167,179,-1,220,0.2,-1,220,180,-1,172,4.95,-1
0.1,2337,33,10.6,220,180,-1,184,0,-1,185,179,-1,220,0.38,-1,220,180,-1,182,6.09,-1
0.2,4840,65,22,220,180,-1,203,0.01,-1,201,180,-1,220,1.42,-1,220,180,-1,201,9.51,-1

240,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.0125,327,9,1.36,240,180,-1,130,0,-1,108,0.01,-1,108,0.01,-1,240,180,-1,127,2.99,-1
0.0167,457,10,1.9,240,180,-1,137,0.01,-1,122,0.64,-1,213,0.02,-1,240,180,-1,136,3.25,-1
0.0208,642,13,2.67,240,180,-1,153,0,-1,136,180,-1,235,0.04,-1,240,180,-1,152,3.79,-1
0.0228,644,13,2.68,240,180,-1,154,0,-1,140,180,-1,235,0.05,-1,240,180,-1,151,3.71,-1
0.0645,1871,26,7.8,240,180,-1,200,0.01,-1,193,180,-1,240,0.3,-1,240,180,-1,193,5.79,-1
0.1,2807,35,11.7,240,180,-1,212,0.01,-1,206,180,-1,240,0.48,-1,240,180,-1,205,7.23,-1
0.2,5679,62,23.7,240,180,-1,220,0.01,-1,240,180,-1,240,2.28,-1,240,180,-1,218,11.5,-1

260,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.0115,376,8,1.45,260,180,-1,131,0,-1,119,0.03,-1,177,0.02,-1,260,180,-1,130,3.7,-1
0.0154,516,10,1.98,260,180,-1,159,0.01,-1,138,12.4,-1,242,0.02,-1,260,180,-1,154,3.88,-1
0.0192,680,14,2.62,260,180,-1,176,0,-1,148,180,-1,257,0.05,-1,260,180,-1,170,4.29,-1
0.0214,752,13,2.89,260,180,-1,174,0,-1,153,180,-1,254,0.07,-1,260,180,-1,167,4.6,-1
0.062,2038,26,7.84,260,180,-1,211,0,-1,260,180,-1,260,0.36,-1,260,180,-1,209,6.9,-1
0.1,3349,39,12.9,260,180,-1,228,0.01,-1,260,180,-1,260,0.85,-1,260,180,-1,225,8.36,-1
0.2,6750,70,26,260,180,-1,241,0.01,-1,260,180,-1,260,3.27,-1,260,180,-1,238,13.4,-1

280,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.0107,424,11,1.51,280,180,-1,151,0,-1,131,0.09,-1,233,0.02,-1,280,180,-1,148,4.04,-1
0.0143,582,13,2.08,280,180,-1,169,0,-1,147,26.8,-1,253,0.03,-1,280,180,-1,166,4.39,-1
0.0179,693,12,2.47,280,180,-1,171,0.01,-1,154,180,-1,273,0.04,-1,280,180,-1,168,4.68,-1
0.0201,791,12,2.83,280,180,-1,185,0,-1,166,180,-1,279,0.07,-1,280,180,-1,182,4.89,-1
0.0598,2266,28,8.09,280,180,-1,235,0.01,-1,280,180,-1,280,0.43,-1,280,180,-1,229,7.73,-1
0.1,3888,42,13.9,280,180,-1,247,0.02,-1,280,180,-1,280,1.33,-1,280,180,-1,244,10.6,-1
0.2,7741,73,27.6,280,180,-1,260,0.02,-1,280,180,-1,280,3.67,-1,280,180,-1,257,15.9,-1

300,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.01,466,9,1.55,300,180,-1,166,0,-1,145,0.03,-1,247,0.02,-1,300,180,-1,163,4.98,-1
0.0133,640,12,2.13,300,180,-1,183,0,-1,160,180,-1,276,0.03,-1,300,180,-1,179,5.06,-1
0.0167,779,14,2.6,300,180,-1,200,0.01,-1,171,179,-1,296,0.05,-1,300,180,-1,197,5.35,-1
0.019,899,13,3,300,180,-1,210,0.01,-1,179,179,-1,300,0.1,-1,300,180,-1,200,5.51,-1
0.0577,2628,28,8.76,300,180,-1,244,0,-1,300,180,-1,300,0.53,-1,300,180,-1,243,8.44,-1
0.1,4421,45,14.7,300,180,-1,268,0.01,-1,300,180,-1,300,1.51,-1,300,180,-1,264,11.2,-1
0.2,8909,78,29.7,300,180,-1,281,0.02,-1,300,180,-1,300,5.3,-1,300,180,-1,277,18.1,-1

320,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.00937,481,10,1.5,320,180,-1,170,0,-1,147,0.05,-1,227,0.02,-1,320,180,-1,168,5.23,-1
